game_id,game_title,genre,developer,publisher,release_date,platform,price_usd,rating,number_of_players
228,Starborne,Adventure,Ubisoft,Capcom,2020-10-11,Mobile,33.67,7.6,250198
229,Mystic Wars,Adventure,Capcom,Blizzard,2020-12-09,All Platforms,22.82,9.6,472535
230,Dragon Age: Resurgence,Simulation,Ubisoft,Bethesda,2023-07-24,Xbox Series X,63.24,8.5,247997
231,ElderQuest,Sports,Capcom,Blizzard,2023-05-03,Xbox Series X,60.65,9.2,493533
232,Apex Legends 2,MOBA,Ubisoft,Square Enix,2020-10-27,Xbox Series X,69.99,8.0,101347
233,Legends of Arcadia,Strategy,Activision,Ubisoft,2020-06-09,Mobile,69.83,8.3,315931
234,Legends of Arcadia,Adventure,Activision,Ubisoft,2019-05-03,Nintendo Switch,47.77,8.0,302632
235,Phantom Ops,RPG,Electronic Arts,Ubisoft,2021-11-25,PS5,58.45,6.8,341585
236,CyberStrike,Sports,Riot Games,Capcom,2022-09-02,Xbox Series X,67.24,8.9,210735
237,Legends of Arcadia,Simulation,Activision,Ubisoft,2018-06-12,All Platforms,62.48,7.1,27431
238,Galaxy Conquest,Sports,Capcom,Square Enix,2021-11-10,All Platforms,32.37,6.1,328825
239,ElderQuest,Strategy,Activision,Electronic Arts,2023-08-09,Xbox Series X,42.53,8.6,199555
240,Apex Legends 2,Simulation,Electronic Arts,Bethesda,2020-02-15,Xbox Series X,26.46,6.7,127720
241,Vortex Arena,Strategy,Blizzard,Square Enix,2021-12-08,PS5,67.7,9.8,54153
242,CyberStrike,Sports,Capcom,Bethesda,2022-09-25,Xbox Series X,50.31,9.8,273512
243,Mystic Wars,MOBA,Electronic Arts,Square Enix,2023-05-05,PS5,31.43,9.7,425640
244,Starborne,Strategy,Bethesda,Ubisoft,2018-07-11,All Platforms,53.59,7.5,379504
245,BattleForge,Simulation,Bethesda,Electronic Arts,2018-10-27,Xbox Series X,50.91,6.1,181076
246,CyberStrike,Simulation,Epic Games,Valve,2022-01-02,Mobile,37.91,9.7,482085
247,Vortex Arena,Strategy,Ubisoft,Blizzard,2022-10-24,Mobile,25.68,7.7,224724
248,BattleForge,Sports,Riot Games,Activision,2020-05-15,All Platforms,53.58,9.9,379899
249,Quantum Rift,Battle Royale,Valve,Electronic Arts,2018-12-06,PS5,46.02,9.9,61985
250,Starborne,Sports,Square Enix,Valve,2023-10-08,Mobile,58.62,9.4,317213
251,ShadowRealm,Strategy,Electronic Arts,Riot Games,2021-02-27,PS5,46.01,7.2,319470
252,Quantum Rift,FPS,Blizzard,Square Enix,2023-12-05,Mobile,62.61,7.5,113737
253,Dragon Age: Resurgence,Strategy,Square Enix,Riot Games,2019-06-16,Mobile,47.6,9.4,217133
254,Vortex Arena,MOBA,Blizzard,Valve,2019-11-26,PS5,48.05,7.3,159470
255,Mystic Wars,Strategy,Square Enix,Electronic Arts,2022-01-18,Nintendo Switch,63.83,6.7,234465
256,Legends of Arcadia,Strategy,Electronic Arts,Square Enix,2020-03-06,Mobile,40.17,8.2,55861
257,Infinite Odyssey,MOBA,Valve,Activision,2019-05-05,Xbox Series X,26.7,9.7,343041
258,Starborne,Strategy,Square Enix,Ubisoft,2018-04-16,All Platforms,21.44,8.8,217977
259,Dragon Age: Resurgence,Adventure,Electronic Arts,Square Enix,2023-03-13,Nintendo Switch,57.76,8.3,132118
260,Titanfall: Frontiers,FPS,Activision,Square Enix,2023-10-05,PS5,51.02,6.4,335721
261,Dragon Age: Resurgence,RPG,Valve,Electronic Arts,2022-05-13,Nintendo Switch,55.2,8.5,201713
262,Vortex Arena,FPS,Capcom,Electronic Arts,2021-11-17,PC,30.65,10.0,14078
263,Quantum Rift,Strategy,Blizzard,Valve,2022-08-18,PC,26.82,6.6,423219
264,Quantum Rift,Adventure,Bethesda,Epic Games,2021-11-08,Mobile,20.73,8.1,329912
265,ShadowRealm,Sports,Ubisoft,Square Enix,2022-04-13,Mobile,37.53,9.5,56047
266,Dragon Age: Resurgence,Strategy,Bethesda,Blizzard,2022-01-19,Xbox Series X,49.5,9.0,338770
267,Specter Saga,Adventure,Valve,Square Enix,2022-11-26,All Platforms,39.61,8.8,324804
268,Quantum Rift,MOBA,Capcom,Valve,2021-07-03,Nintendo Switch,41.87,8.8,240458
269,ShadowRealm,Adventure,Blizzard,Bethesda,2021-08-24,PC,65.21,7.4,448002
270,Titanfall: Frontiers,MOBA,Capcom,Riot Games,2022-03-08,Mobile,37.41,7.2,400141
271,Specter Saga,Battle Royale,Square Enix,Ubisoft,2019-06-02,All Platforms,45.7,9.2,220048
272,CyberStrike,RPG,Blizzard,Epic Games,2020-02-08,Nintendo Switch,59.18,9.2,241293
273,Legends of Arcadia,MMORPG,Square Enix,Activision,2020-07-27,Mobile,39.83,9.5,122832
274,ShadowRealm,Adventure,Electronic Arts,Activision,2020-08-13,Mobile,51.1,9.7,397550
275,Vortex Arena,Simulation,Valve,Activision,2021-06-13,PC,63.12,8.0,130150
